activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,410849,[],CHEMBL672992,Ability to displace [3H]WIN-35428 from Dopamine Transporter of guinea pig striatal membrane at a concentration of 10 e -6 M,B,,,BAO_0000201,BAO_0000019,assay format,COCC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,,,CHEMBL1135775,J. Med. Chem.,2002,,CHEMBL133551,,CHEMBL133551,,0,http://qudt.org/vocab/unit#Percent,253114,=,1,1,=,,Inhibition,%,,5.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,5.0
,425775,[],CHEMBL672991,Ability to displace [3H]WIN-35428 from Dopamine Transporter of guinea pig striatal membrane at a concentration of 10 E-6 M,B,,,BAO_0000201,BAO_0000019,assay format,COc1cc(C2(O)c3ccccc3C3=NCCN32)cc(OC)c1OC,,,CHEMBL1135775,J. Med. Chem.,2002,,CHEMBL337609,,CHEMBL337609,,0,http://qudt.org/vocab/unit#Percent,253120,=,1,1,=,,Inhibition,%,,5.7,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,5.7
,436214,[],CHEMBL672993,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc(Cl)cc2)c2ccccc2-c2nc3ccccc3n21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL336827,,CHEMBL336827,,0,http://qudt.org/vocab/unit#Percent,253529,=,1,1,=,,Inhibition,%,,30.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,30.0
,436216,[],CHEMBL672993,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCc3ccccc3CN21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL441477,,CHEMBL441477,,0,http://qudt.org/vocab/unit#Percent,253535,=,1,1,=,,Inhibition,%,,12.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,12.0
,437320,[],CHEMBL672993,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc(Cl)cc2)c2ccccc2C2=Nc3ccccc3CN21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL131792,,CHEMBL131792,,0,http://qudt.org/vocab/unit#Percent,253536,=,1,1,=,,Inhibition,%,,45.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,45.0
,441262,[],CHEMBL672993,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=N[C@H]3CCCC[C@@H]3N21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL339321,,CHEMBL339321,,0,http://qudt.org/vocab/unit#Percent,253539,=,1,1,=,,Inhibition,%,,5.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,5.0
,459724,[],CHEMBL672994,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc(Cl)cc2)c2c(c3ccccc3c3ccccc23)C2=NCCN21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL132941,,CHEMBL132941,,0,http://qudt.org/vocab/unit#Percent,253523,=,1,1,=,,Inhibition,%,,5.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,5.0
,459726,[],CHEMBL672993,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc3c(c2)CCCC3)c2ccccc2C2=NCCN21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL334508,,CHEMBL334508,,0,http://qudt.org/vocab/unit#Percent,253540,=,1,1,=,,Inhibition,%,,35.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,35.0
,463585,[],CHEMBL672994,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane at a concentration of 10e-6 M,B,,,BAO_0000201,BAO_0000019,assay format,OC1(c2ccc3ccccc3c2)c2c(c3ccccc3c3ccccc23)C2=NCCN21,,,CHEMBL1135776,J. Med. Chem.,2002,,CHEMBL133276,,CHEMBL133276,,0,http://qudt.org/vocab/unit#Percent,253527,=,1,1,=,,Inhibition,%,,20.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,20.0
,1035842,[],CHEMBL675999,Inhibitory activity against human dopamine transporter at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OC)c(OC)c4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,,,CHEMBL1147446,Bioorg. Med. Chem. Lett.,2004,,CHEMBL172090,,CHEMBL172090,,0,http://qudt.org/vocab/unit#Percent,344560,=,1,1,=,,Inhibition,%,,-4.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,-4.0
,1036978,[],CHEMBL675999,Inhibitory activity against human dopamine transporter at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCn1nc(Cc2ccc(OC)c(OC)c2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,,,CHEMBL1147446,Bioorg. Med. Chem. Lett.,2004,,CHEMBL172806,,CHEMBL172806,,0,http://qudt.org/vocab/unit#Percent,344558,=,1,1,=,,Inhibition,%,,9.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,9.0
,1041663,[],CHEMBL675999,Inhibitory activity against human dopamine transporter at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCn1nc(Cc2ccc(C#N)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,,,CHEMBL1147446,Bioorg. Med. Chem. Lett.,2004,,CHEMBL367169,,CHEMBL367169,,0,http://qudt.org/vocab/unit#Percent,344621,=,1,1,=,,Inhibition,%,,17.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,17.0
,1042719,[],CHEMBL675999,Inhibitory activity against human dopamine transporter at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCn1nc(Cc2ccc(S(C)(=O)=O)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,,,CHEMBL1147446,Bioorg. Med. Chem. Lett.,2004,,CHEMBL367461,,CHEMBL367461,,0,http://qudt.org/vocab/unit#Percent,344606,=,1,1,=,,Inhibition,%,,36.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,36.0
,1050298,[],CHEMBL675999,Inhibitory activity against human dopamine transporter at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,,,CHEMBL1147446,Bioorg. Med. Chem. Lett.,2004,,CHEMBL174304,,CHEMBL174304,,0,http://qudt.org/vocab/unit#Percent,344500,=,1,1,=,,Inhibition,%,,15.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Inhibition,%,UO_0000187,,15.0
