activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,34848,[],CHEMBL872503,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (high affinity),B,,,BAO_0000192,BAO_0000221,tissue-based format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '19.50', 'le': None, 'lle': None, 'sei': None}",CHEMBL178011,"tri carbonyl methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate chromiumIII",CHEMBL178011,7.77,0,http://www.openphacts.org/units/Nanomolar,63553,=,1,1,=,,Ki,nM,,17.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,17.0
,34849,[],CHEMBL671773,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (low affinity),B,,,BAO_0000192,BAO_0000357,single protein format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '16.69', 'le': None, 'lle': None, 'sei': None}",CHEMBL178011,"tri carbonyl methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate chromiumIII",CHEMBL178011,6.65,0,http://www.openphacts.org/units/Nanomolar,63553,=,1,1,=,,Ki,nM,,224.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,224.0
,53423,[],CHEMBL872503,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (high affinity),B,,,BAO_0000192,BAO_0000221,tissue-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '28.85', 'le': '0.54', 'lle': '5.05', 'sei': '25.33'}",CHEMBL1790051,,CHEMBL83729,7.48,0,http://www.openphacts.org/units/Nanomolar,63551,=,1,1,=,,Ki,nM,,33.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,33.0
,53424,[],CHEMBL671773,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (low affinity),B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '25.07', 'le': '0.47', 'lle': '4.07', 'sei': '22.01'}",CHEMBL1790051,,CHEMBL83729,6.50,0,http://www.openphacts.org/units/Nanomolar,63551,=,1,1,=,,Ki,nM,,314.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,314.0
,70051,[],CHEMBL872503,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (high affinity),B,,,BAO_0000192,BAO_0000221,tissue-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '24.71', 'le': '0.47', 'lle': '5.62', 'sei': '13.42'}",CHEMBL370805,COCAINE,CHEMBL370805,7.50,0,http://www.openphacts.org/units/Nanomolar,63550,=,1,1,=,,Ki,nM,,32.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,32.0
,70052,[],CHEMBL671773,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (low affinity),B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '21.13', 'le': '0.40', 'lle': '4.54', 'sei': '11.48'}",CHEMBL370805,COCAINE,CHEMBL370805,6.41,0,http://www.openphacts.org/units/Nanomolar,63550,=,1,1,=,,Ki,nM,,388.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,388.0
,71268,[],CHEMBL671772,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue,B,,,BAO_0000192,BAO_0000221,tissue-based format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '8.74', 'le': None, 'lle': None, 'sei': None}",CHEMBL611999,"Rutheium (II) triflate salt of (methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate)(penta methyl cyclo penta dinyl)",CHEMBL611999,5.64,0,http://www.openphacts.org/units/Nanomolar,63552,=,1,1,=,,Ki,nM,,2280.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,2280.0
,80387,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C([C@@H](O)c2ccc(Cl)c(Cl)c2)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '12.37', 'le': '0.28', 'lle': '0.21', 'sei': '12.32'}",CHEMBL333280,,CHEMBL333280,5.38,0,http://www.openphacts.org/units/Nanomolar,227607,=,1,1,=,,Ki,nM,,4140.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,4140.0
,93636,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C(C(=O)c2ccc(Cl)c(Cl)c2)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '18.38', 'le': '0.42', 'lle': '2.64', 'sei': '19.64'}",CHEMBL120490,,CHEMBL120490,7.96,0,http://www.openphacts.org/units/Nanomolar,227605,=,1,1,=,,Ki,nM,,10.9,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,10.9
,94547,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,Cc1ccc(C2OC(=O)OC3(c4ccc(C)cc4)CCN(C)CC23)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '14.47', 'le': '0.27', 'lle': '0.73', 'sei': '13.12'}",CHEMBL120269,,CHEMBL120269,5.09,0,http://www.openphacts.org/units/Nanomolar,227608,=,1,1,=,,Ki,nM,,8190.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,8190.0
